description,jobflag
Demonstrate the software on request such as: during technical pre-sales and promotional events,3
Strategize in collaboration with functional teams to identify data-driven solutions to ongoing needs across the organization.,0
Develop site-acceptance test (SAT) plans for EMS Commissioning.,2
Apply expert knowledge of Mechanical and Sound & Vibration engineering,2
"Strong communication, teamwork and problem solving skills are essential.",2
"Contribute to new and existing projects, collaborating with product owners, and other teams to deliver business value on an iterative basis",2
"Maintain the systems necessary to ensure quality of raw materials and finished products; provide primary support for all chemistry/quality related manufacturing issues; act as liaison between R&T (Research and Technology), Technical Service, Marketing & Sales, and Production; provide guidance for department (Lab) activity and ensure it is within budget.",2
Inform bidding strategy and data engineering architecture.,1
Tasked with coming and and helping the DevOps environment up and running quickly,3
"Build security tools and processes using Python or Go for critical infrastructure protection, monitoring and remediation.",2
"Demonstrate the potential to initiate, lead, and execute funding opportunities in both internal and external R&D.",1
Software development for low level validation of Mentor Graphics IPs,2
Solve technically complex problems and prioritize tasks based on technical knowledge,2
"Update and continuously improve knowledge, skills and attitude pertaining to instructional design and related fields. Coach Learning Institute teammates.",3
Work with clients to develop network engineering solutions from concept through implementation,3
Work across teams to report on key metrics and develop KPIs,0
"Reporting to the Project Manager based in San Diego, CA.",2
"Developing novel techniques to tackle the challenges of prediction, optimization, and classification as they relate to: pattern recognition, target detection, tracking, reasoning and inferencing systems.",2
Collaborate with technical and non-technical users on software implementation.,2
Follow coding standards and best practices,2
Produce data visualizations that provide insight into data set structure and meaning,0
Develops referral partners by building a professional network in the market,3
"Work with customer technical leads, client executives, and partners to manage and deliver successful implementations of cloud solutions, becoming a trusted advisor to decision-makers throughout the engagement.",3
"Experience in full stack development building web server both in Ubuntu and Windows operating systems for production, staging, and personal dev environment.",2
As needed review release status with key program team members weekly,2
"Foster commercial, cloud-based thinking across the various technical disciplines",2
Apply knowledge of systems integration to their work,0
Derivation of optimal software architecture for new deep learning concepts,1
Work closely with Research Scientist team members to write papers and patents,1
Maintain high standards of software quality by establishing good practices and habits,2
Customize and manage the ERP System to meet business requirements,3
Develops new market ideas and assists in developing and implementing sales and/or marketing plans.,3
"Facilitate Workday process and configuration evaluation and review     with administrators to ensure consistency, efficient use of each     Workday module, and innovative use of technology.",3
"Troubleshoot and perform a root cause analysis of customer reported product issues (including: examining code base (compiling and comparing different versions), product logs, system logs, and other system debug information)",2
Collaborate with sales teams to understand customer requirements and provide sales support,2
"Reviews and edits requirements, specifications, business processes and recommendations related to proposed solution",3
"Design software systems that interface with humans, machines and other software.",2
"Account for deliverables in addition to project plan, templates and guides will include a post implementation long term plan for management of new contracts, maintenance of existing contracts, contract modeling, contract variance, and guidelines for managing the AR net down logic.",3
"Work with the laboratory staff, GxP Systems team and project management on study start up activities by providing user requirements for building the test methods in LIMS and development of data transfer tools. Develops specifications for standard edit checks of data and supports performance of acceptance testing . Work with Data Management, GxP systems and Project Management teams to facilitate preparation of data transfer agreements, maintain project timelines, drive project completion, escalate issues as appropriate and maintain study data transfer deadlines.",0
Develop embedded software in support of Carrier wall controls and thermostats,2
Coordinate and facilitate between internal teams to gain feedback and insight into deals and initiatives.,3
"Providing Service Delivery in the form of ART Launches, Leading SAFe and Value Stream Workshops, Product Manager/Product Owner Trainings, Inspect & Adapt Workshops, Portfolio Management Workshops, and Leadership Facilitation Sessions",3
Works with other machine engineering leads to continue to mature the use of machine learning within the organization.,1
Defining data augmentation pipelines,1
Write documentation and/or technical articles for API and projects that you have worked on,2
Ensure our models are explainable and unbiased using open source libraries while looking at opportunities to augment them to fit our needs,0
Apply understanding of cryptographic protocols and compression technologies and their implementation in C/C++,2
"Mentor junior team members, motivate senior developers, establish priorities with Scrum Masters and Product Managers/Owners",2
"Write solid, maintainable, and testable code, paired with useful documentation",2
Ensure Definition-of-Ready and Definition-of-Done criteria being met  Facilitate common software requirements analysis across multiple projects  Assist Chief Software Engineer and Technical Program Managers with overall continuous technical process improvements,2
Provide technical advice on plant operations and improvements.,2
"Flexible to travel to other SEI offices in Pittsburgh and Washington, DC, sponsor sites, conferences, and offsite meetings on occasion. Moderate (25%) travel outside of your home location.",1
"Develop AI/ML solutions based on NLP techniques such as key phrases extraction, Topics, themes, summarization, entity extraction and Sentiment analysis",0
Complies with architectural standards and established methodologies and practices.,2
"Report any issues with source material promptly for quick replacement (audio/video drop-outs, audio glitches, distortions, sync problems, missing lines and all the other errors spotted)",2
Work with cloud and data architects to define robust architecture in cloud setup pipelines and work flows.,1
Maintain updates and enhance software products,2
Implement and analyze results obtained from vulnerability scans,2
Help to align products and processes to the strategy of the company and the problems of our clients,0
Overtime is required in order to meet client deadlines.,3
Develops and maintains scalable data pipelines and builds out new API integrations to support continuing increases in data volume and complexity.,2
Accurately logging all customer interactions,2
Integrate AI engine/ techniques with Modeling and Simulation Applications,2
"Build and maintain new, high impact functionality",2
"Use predictive modeling to increase and optimize customer experiences, revenue generation, ad targeting and other business outcomes.",0
Document Local Area Network at assigned location(s),2
Build and deliver compelling demonstrations of the Freshworks products.,2
"Setup, deploy, and perform security administration based on experience",2
"This includes VoIP/IEN-Voice initiatives and configuring/optimizing all VoIP telephone systems and services, both internally, and those integrated with Internet-based services",2
Provide leadership at conferences and actively participate at events and meet-ups,3
"The role involves model construction, information extraction, prediction and finding solutions to NP Hard problems for mission critical applications using large datasets derived from a broad spectrum of domains for the following sectors - logistics, consumer goods, capital markets, and telecommunications.",0
"Responsible for cleaning, transforming, enriching, and analyzing vast amounts of raw data from various systems using Apache Spark and other analytics packages to develop valuable features and to provide ready-to-use data to a variety of stakeholders for robust downstream analysis.",0
"Design, implement, and integrate software for an embedded Linux target (applications, servers, and drivers)",2
"Structure and execute prototyping workshops to prove out proposed new architectures, develop best practices, and document key blocking requirements for prioritization with engineering.",2
"Learn about machine learning, data science, computer vision, artificial intelligence, statistics, and/or applied mathematics",1
Development of company values and objectives,3
"Identify causal relationships between observed failures, complaints and current manufacturing techniques. Product analysis and process evaluations are required to fulfill this requirement.",2
digital engagement program designs,3
Participates in software product review meetings and team meetings,2
"Design and execute our online experiments (ex: A/B tests, multi-armed bandit, etc.) that help us improve and fine tune our data focused features, algorithms/models, and products (ex: Search)",0
Implement tools to increase the level of automation in our infrastructure,2
Develop detailed design and configure business rules as per requirements,3
Perform installation / configuration of new hardware.,2
"Serve as an ambassador for Novartis Data Science by presenting and publishing articles at conferences, business meetings and academic institutions",0
"Plan and build data-driven banking ecosystem, including ecosystem support models for customer experience and marketing.",1
Participate in design and code reviews,2
"Manage payroll operations, focusing on growing payroll resource knowledge & long-term problem-solving skills.",3
Ensure effective engineering and Client communications,2
May assist as an individual contributor to an Agile Product Team (e.g. developing solutions to achieve defined business outcomes) in addition to leading a team.,2
"Selecting features, building and optimizing classifiers using machine learning techniques",0
Travel to customer sites & commission the machines with all external vendors and perform FAT.,2
Perform ongoing support services to existing clients,2
Follows a scrum agile development process including analyzing and testing software to ensure solutions meet standards and end user requirements.,2
Work collaboratively with internal team members on investigating and fixing defects,2
Transform to multichannel innovations,3
"Integrate diverse data sources, data types and data structures into solutions",0
"Infrastructure provisioning and integration with Continuous Integration/Continuous Development (CI/CD) platforms, using existing and emerging technologies.",1
"Support or conduct system, performance, volume, and stress testing",2
Build API interface for AI/Client models,1
Roadmap: Works with stakeholders to determine short and mid-term product development strategy for the Marketing and Communication Platform and ensures alignment with overall member engagement vision and strategy. Ensures buy-in for the product development strategy both internally and with key internal business partners.,3
Ensure all deliverables meet the highest standard of quality through the use of quality practices such as unit testing,2
Training high quality domain-specific models on latest GPU hardware,1
Assist with maintaining warranty status on all hardware.,2
"Design, develop, and maintain software test plans, software test cases, software test procedures, and automated software tests in compliance with program functional, technical, and performance requirements.",2
"Provide training and education programs for physicians, clinical support staff, and Impulse Dynamics field-based personnel around the benefits of Cardiac Contractility Modulation (CCM) therapy and company devices.",3
Complete proof of concept initiatives prior to introducing significant architectural change recommendations,1
"Support the development of real world data and analytics capabilities and utilization, and lead in applying cutting-edge advanced analytics methodologies and tools to generate novel insights and actions",0
Prepare and deliver technical presentations explaining products or services to customers and prospective customers,2
"Demonstrates expertise in a variety of the fields concepts, practices, and procedures. Understand infrastructure services, networking topologies, protocols and practices.",2
"Design, develop, test, deploy, maintain and improve software.",2
Work on multiple projects simultaneously,3
"Works with less structured, more complex issues",2
May interface with internal & external clients to define system requirements and/or necessary modifications.,2
"Create technical documentation for corresponding projects, tickets, and tasks.",3
"Consult on multiple projects at once, managing time and expectations with project owners.",0
Demonstrated leadership skills,3
Receipt of service provider acknowledgment of responsibility of PA card data they manage,3
"Provide support to customer testers during acceptance testing, including test procedure walkthroughs, documentation of testing issues and test results, and answering questions on system functionality.",2
Report directly to the Sales Manager regarding objectives and creative ideas.,3
Document all processes and setup in detail,2
Optimize model performance and inference speed.,1
"Builds a deep understanding of the Company s products, services, data and customers to facilitate development of personalized and fulfilling experience.",1
Regular progress meetings with customers (multiple times a week) face to face or via online meeting software. This may include working on-site.,0
"Implement code that follows established standards and demonstrates a basic understanding of user interface design patterns, object oriented design, database management systems, database design, database access, memory management, design patterns, test automation, continuous integration/deployment, and versioning",2
Design infrastructure and drive its implementation to protect our networks and systems.,2
Perform Operating Model Assessments for processes submitted through the Functional Requirements Review Board to determine automation suitability and complexity,3
"Embedded SW Development for Automotive Products (They use a proprietary OS and OSEK OS, so it does not matter if the engineer has linux or windows experience), hands on knowledge on C or C++ programming",2
"Design, prototype, and implementation of new solutions",2
Leverage data and requirements gathered from business partners to build machine learning applications,1
"Interpret, confirm, and/or challenge business requirements and document technical requirements",2
Collaborate with cross-functional engineering teams to develop new platform features,2
Work closely with engineering team to deliver machine learning models into production,1
"This position is not within technology, it is supporting financial legal individuals within investments. This is more of an operational role.",3
Actively participate in all phases of the development lifecycle.,2
Perform analytical review of client data,3
Lead the R&D activity in data mining area,0
"Maintain and expand existing plant floor machine control to Ethernet gateways, links and connections",2
Creation of the baselined project schedule based on the WBS as well as important milestones,3
"Assists in support improvement efforts and training working with clients, developers, and other technical staff to achieve desired outcome. (Approx. 10%)",3
"Extend existing ML libraries and frameworks, keep abreast of developments in the field and contribute as part of development and application teams to create products and solutions from prototype to production and beyond as well as create and maintain documentation per needs.",1
Estimating Project-specific EMS costs & schedules.,2
Continue to develop insurance and business intelligence knowledge while learning how work assignments address business issues.,3
Educating partners on the benefits of recommending products and services,3
Exercises Judgement within defined procedures and practices to determine appropriate action.,2
"Prepare audit summary findings, providing detailed comments related to the audit findings and make recommendations",2
"Assist with the implementation of new features and perform code maintenance, using current computer languages (such as C or C++)",2
"Collaborate with functional leaders to translate business needs into differentiated products & solutions, by driving business case & proforma development.",1
Work with other development teams to integrate models into user applications,0
Evaluating system architectural documentation and plans for technical viability and risks.,3
"Create high-level designs and when required, work with other designers/ architects.",2
Work closely with marketing and customers to define HVAC control systems,2
Be a key contributor to the planning and direction of a project and effectively prioritize goals,0
"Work with IT teams, management and/or data scientists to determine organizational goals",0
"Interact with various departments like R&D, Service, Sales and Aftermarket to collect data",0
"Facilitate end to end solution design reviews with other members of the technical team that include communicating design, requirements, feature sets, functionality and limitations of systems/applications",1
"Support deployment of new CPQ/ Billing systems for assigned Vertical, Line of Business or Channel",3
Software Developer for the Contrail Sustaining Engineering team.,2
Communicate with clients and assist clients related to the research and deployment of new products,0
"Document requirements, use cases, and designs.",2
"Work across silos with R&D scientists, mechanical, electrical, manufacturing, and service engineers, technical writers, application specialists.",2
Serve as technical consultant and advisor for clients.,3
"Engage in customer and/or prospect management activities. Drives proactive sales conversations through outside interactions at non-PNC locations with a defined sales process including, identifying and independently acting upon sales opportunities to build a strong pipeline of appointments to meet assigned sales goals. Leverages ecosystem partnerships as well as community centers of influence to acquire, expand and retain relationships.",3
Collaborate with Data Scientists to prototype new ML approaches and design experiments for evaluation,1
Communicate analytic solutions to stakeholders and implement improvements as needed to operational systems,1
Must be able to demonstrate innovation in problem solving,2
Collaborate closely with Commercial Capital Offer Strategy and Development to ensure execution feasibility of the proposed pricing and respective terms and conditions,3
Evaluate accuracy and quality of the designed models as well as data sources.,1
Works with product manager and UX designer to ensure quality code that meets the functional requirements,2
Ensures business needs are being met,0
"Mastery of anomaly detection, forecasting, and clustering algorithms",0
Manage the HDFS and ensuring it is working optimally at all times.,2
Guide and mentor junior engineers. Serve as team lead if appropriate.,1
Demonstrate and support all St. Louis Arc Diversity and Inclusion practices/initiatives,3
Independently drives for core software improvements.,2
Communicate effectively with customers and vendors both verbally and through email.,3
Debugging and integrating SW on product HW,2
Create/Modify technical documentation and requirements documentation,2
Participates in IT Operations on-call rotation.,2
Manage technology projects in compliance with IT standards,2
"Ensure all security, governance, and compliance standards are met.",1
Participate in a 24/7 global operation that manages and responds to security events on our networks.,2
"An ideal candidate for the Lead Machine Learning Scientist role should have practical experience, a love of experimentation, and a passion for the problem we're trying to solve.",0
"Define and maintain pack level requirements for battery controls, internal mechanical, electrical components (high voltage contactors/wiring), battery cells, and thermal performance.",2
Build data processing pipeline for deep learning tasks,0
"Perform testing (unit, independent, system and performance)",2
"Lead all aspects of the development of custom applications using APEX, JavaScript, Visual Force, AJAX, HTML, CSS",2
Clearly and regularly communicate with management and technical support colleagues,2
Complies with Company Drug & Alcohol Policy maintaining favorable drug testing results throughout the term of the contact,3
"Build production grade machine learning pipelines and data products that solve critical, complex problems and deliver business value",0
"Provide accurate, relevant and meaningful ad-hoc analysis to management to support strategic and tactical decision-making.",0
Preparation and review/approval of Engineering Changes and MRB Materials,2
"Senior Consultants will participate in setting engagement objectives and scope; develop work plans for components of engagements, coordinate activities between work streams and identify changes in scope.",3
Support and improve existing tools for continuous integration and automated testing,2
Work closely with developers and QA resources to ensure that the built solution meets client requirements,3
Prepare technical documentation and report for delivery to customer subject matter experts,2
"Define and refine the scope of work for integration projects, provide project and change management, data and business rule discovery and alignment, and documentation of the client's environment.",3
"Work with algorithm experts in perception, motion planning and platform control",2
Work with the team and clients to maintain and update system applications,3
"Capability to perform exploratory analysis, quantitative methods, user interface application design.",0
Understanding of overall business and end-user data and insights needs,0
A strong ability to balance task ownership with team collaboration,2
Prepares and secures transmittal for all items sent from office.,2
"Installs and tests software upgrades, both desktop and server based.",2
Performing code reviews and give directed feedback to engineers on your team,2
"Create the customer-facing UIs, tools and environment that allow customers, both internal and external, to configure, verify, simulate, tune, and instantiate their interconnect IP.",2
"Plans, develops, tests, deploys and monitors cross-platform mobile apps in a DevOps model",2
"Engineer each solution with serverless technology when possible, with maximum performance and lowest cost.",1
Engage and collaborate with others to understand data structures and opportunities.,0
"Test solutions on AWS using services such as SageMaker, EC2, and Snowball Edge.",0
Defining/designing a rough data flow of whole systems,0
Lead detailed strategy in generating industry-specific business growth opportunities for our product.,2
Accompany customer on test drives and demonstrate vehicle features and technology.,3
Assist with answering requests for proposals for FICA services,3
"Support documentation, Test Driven Development and reusable code methodologies",2
Collaborate and take ownership with other developers to improve software and hardware quality.,2
Participate in and/or lead the development of deliverable content that meets the needs of the client and contract,3
"Advise and collaborate in internal partnerships to deliver accurate, available, and accessible data.",1
Present recommendations and solutions to client leadership,3
"Translating system-level CONOPS, functional analysis, and requirements into models and simulations.",2
Work with our Engineering teams to integrate your solutions into Conversant platform.,0
Support our partners with training and implementations,3
Provide data for sales collateral,2
Provide support for compliance with federal regulations (over all/alternatives) acquisition analysis. Interpret data and present findings and recommendations to management.,0
"Provides ongoing reporting based on analysis and interpretation of large data sets, provide actionable recommendations based on findings",0
"Support other engagements, such as those being led by the GRC Team.",3
Assist in coding execution engine.,1
Collect and document technical requirements from customers and configure the Carbon Black software to work within the capabilities of the application for those requirements. Review the configuration decisions that are available to customers and provide expertise and guidance on best practices.,3
Design and develop software according to our company and OWASP secure-coding guidelines.,2
"Initiate timely telephone calls, faxes or emails to the customer to obtain, document or pass along needed information.",3
Contribute to and maintain design and user documentation,2
Translate analysis results into actionable insights,0
Develop and deliver software iteratively and incrementally,2
"Be the interface between the data warehouse and the data science team, using transformation frameworks to automate dataset generation",1
"Create original documents that describe project specifications, logic flow and data analysis findings",0
Investigate front-end technologies and research solutions needed for system and business requirements.,2
"Leverage knowledge of requirements analysis, integration, evaluation, enhancement, maintenance, and testing to formulate customer solutions.",0
Work with cross functional project teams on software,2
Develop and evolve methodologies for measuring business results and using the available data to guide campaign planning and optimization activities.,0
Performance of acceptance fire testing for authorities having jurisdiction,2
"Define and drive front-end architecture, code quality, and technical standards.",2
Collaborating with a globallyl distributed team,0
"Model business problems to machine learning ones, mapping business data to dependent and independent features, doing proper feature engineering, iterating with different predictive models, conducting hyper parameter optimization to yield highest prediction accuracy, and deploying the model to production",0
"Good analytical, communication, leadership and human relations skills required",2
Manages the operations of the certification or IOT programs and oversee the development of standards and testing materials,2
Contribute towards future roadmap,2
prototype new algorithms and productionize solutions at scale,1
Work expeditiously as a member of matrixed clinical trial teams with diverse membership and expertise,0
Maintains professional appearance.,3
Cultivate new and existing client relationships to develop business opportunities,3
"Research, identify, prospect and qualify new potential customers",3
"Develops effective, maintainable code in a timely fashion",2
"Helping to build and maintain our culture that produces team cohesion, high drive, and excitement within the engineering team.",2
"Create and deliver best practices, recommendations, tutorials, blog articles, and sample code.",2
Measuring performance and comparing the results to similar efforts across the organization and the industry,0
Support Business Process Reengineering (BPR) for analysis and redesign of federal payroll and cost management business processes using SAP CO to:,3
Analyze data to effectively coordinate the installation of new systems or modifications to existing systems.,1
Work with scheduler and directors to maintain established production schedule,2
Engages in thoughtful analytic design to ensure relevant findings. Ensures application of quality controls throughout projects.,0
Leads cross team code merge and deployment activities through collaboration and working closely with all Sales Force Sprint Teams,2
"Familiar with basic concepts, practices and procedures in field.",2
"You will collaborate with other data scientists, analysts, product managers, operations, and other departments to ensure products and technology meets internal standards.",0
"Communicate prototype results in an actionable form, including lessons learned and next steps for technical teams in the AI CoE and other technology groups",2
Develop and manage laboratory qualification programs for new products.,2
Work with data scientists and MLE to build pipelines to train and deploy models.,1
"Assisting developers in debugging application build, deployment and connectivity issues",2
Supervise data scientists and other talent towards successful project deliverables.,0
Developing new Project-specific features if needed.,2
"Execute analytics strategy, requirements, and adapt processes as needed.",1
Ability to work in hot and cold conditions for field investigations to review product failures.,2
Interact professionally with senior-level executives and other personnel prioritizing and accomplishing assigned tasks in a fast-paced environment with deadlines,0
"Integrate and commission servo drives and amplifiers into process automation for linear and/or rotary movements. (Siemens, Beckhoff, AB, SEW, Bosch, etc.).",2
integrate data sources using database scripts,0
Look for opportunities to enhance our current analytical capabilities and develop new analytics products,0
"Work in an Agile development environment, using Jira to plan work and track progress.",2
"Contribute to architecture and code design, estimates, code reviews, and documentation to ensure top quality software.",2
Improving the overall quality of our codebase through adopting model-view-presenter and Kotlin,2
"Person should have experience with virtualization technologies Dockers/Containers, Namespaces, etc.",2
Owns full life cycle of development process in conjunction with Product Owner and Scrum Master.,2
Optimize vision based deep learning algorithms for edge devices,1
Create a set of test scenarios for autonomous driving testing and validation,2
"Preparation of proposals, negotiations to actively pursue orders and order execution.",2
Collaborateacross multiple teams in architecting new solutions,2
"Cooperate with Model Risk Management, Legal/Compliance, Data Governance teams to identify and remediate model risks",0
Interact with subject matter experts to understand and communicate how key technology elements address specific risk.,2
"Train, calibrate and validate computer vision algorithms to extract objects, text etc.",0
"For small and medium engagements, perform project management functions including, but not limited to, project planning and definition, project scheduling, tracking status, and project completion reporting",3
Ability to handle high volume of work and work under deadlines,3
"Participate in the full software development cycle: design, develop, QA, deploy, experiment, and analyze.",1
Identify opportunities and lead initiatives to enhance our current analytical capabilities.,0
Partnering closely with our Enterprise team on creating innovative mechanisms for transforming and exposing data for consumption by internal and external customers,2
"Reinforce a philosophy of modular, well specified, understood and documented software architecture and design, with an eye toward efficiency and future maintainability.",2
Work with UX and other internal resources to assess and understand technical specifications and business requirements.,2
"Design, implement and optimize algorithms for unsupervised and supervised learning based on structured and unstructured data.",0
Research and implement appropriate ML algorithms and tools,1
"Complete correspondence, forms and reports using computer and applicable software",2
"Examine firewall, web, database, and other log sources to identify evidence and artifacts of malicious and compromised activity.",3
Bring all the capabilities to bear in designing client-specific change and transformation execution journeys,3
"Work with cross-functional teams like Engineering, Project Management & User Experience",1
Perform testing on an agile team Work with the development team to create test plans and test cases,2
Support the development of data and content pipelines to build new machine learning and deep learning models,2
Build robust and interpretable models that predict how digital search engagement leads to real-world health outcomes.,0
Provide coaching/advisory services to customer project teams,2
Write high quality designs that make sound engineering decisions across known and unknown interacting systems.,2
"Work with Business SMEs to create models which predict the outcome of key business processesLead and contribute to data analysis and modeling projects from project or prototype designGathering and analyzing data, identifying key prediction/classification problems, devising solutions and building prototypes.",0
Understand business requirements and devise resourceful backend data solutions,2
Possess increased confidence in the products and delivery schedules,2
Proactively enforce standards and best practices.,1
"Take on individual projects driven by the Architecture team. These may be POCs for new patterns or technology, or cross-team efforts that the Architecture team needs to drive to pull in those patterns or technologies into our code.",2
"Program logic controllers in ladder, sequential graphs and/or statement lists. (Siemens, AB, Beckhoff, Pilz, etc.)",2
"Set up, safely operate and maintain laboratory equipment and test instruments.",2
Compliance progress and monitoring of Service Providers,3
Previous exposure to highly scalable platforms,2
Work as part of a larger development team developing autonomous vehicles,1
Communicate clearly and effectively to technical and non-technical audiences equally well,1
Provide a source of creative energy; continuously thinking about and introducing new concepts and fresh ideas,2
Maintain inventory by observing inventory levels and prompting store management/Sales Representative to reorder when levels appear low.,3
"Implement best practices in building, profiling and monitoring high performance high availability solutions providing mission-critical real-time functionality on the control plane of mobile and fixed network",2
"Mentor, coach, train and lead fellow data scientists and analysts.",0
"Advise technical and non-technical audiences on information security concepts using presentations, reports, code samples, and visualizations.",3
"Lead efforts in cross-functional projects through a strong understanding of business systems, processes, and policies",3
"Interface with medical coders, administrators, and physicians to understand the strengths and weaknesses of existing products and to help develop new machine learning-empowered products.",1
Interface with multi-disciplinary teams internal/external to NASA,2
Must be familiar with various data integration techniques to harvest and integrate metadata from various places and tools.,3
Develop internal and external RESTful Web APIs and SDKs.,2
Provide work leadership and training to lower level industrial engineers.,2
"Share team responsibility for capacity and availability planning and reporting on a monthly, quarterly and yearly basis.",2
Identify software and hardware dependencies and capacities,2
Continuously develop product and sales knowledge to become the vehicle authority.,3
"Leverage the opportunities and efficiencies afforded by access to hybrid cloud-based, distributed ecosystem of technologies",0
Develop code for measurement of pricing actions,0
Collaborate as a participating member of the IT-Security and Information Security team,3
Collaborate across the business to understand IT and business constraints,0
"Supervise, lead, mentor, and cross-train teams of both blue team and red team consultants.",3
Growing your skillset through mentoring and training opportunities.,2
Improve model ingestion and robustness at the front end of our pipeline,1
Create and execute automated tests using product APIs and scripting,2
Designs data integrations and data quality framework.,2
This role bridges the gap between Software Engineer and Research Scientist.,1
"Formulates, documents, and maintains quality control standards and product installation guides for customers.",2
"Regularly updates eGRC - based on completed compliance monitoring reviews - and creates new ""risks"", and ""issues"", and inputs remediating action plans the business has agreed to",3
Keep our data separated and secure across national boundaries through multiple data centers and AWS regions.,3
"Developing and performing automated builds, testing, and deployments",2
Continuously improve team objectives through creative automation,2
Additional duties as may be required,2
Participate in problem solving and troubleshooting,2
You must be able to manage your time and generate additional appointments through referrals and other self-generated devices we equip you with.,3
Feedback: To provide respectful yet honest feedback to leadership about how to better achieve the DevOps goals,3
Reviewing and creating TTCN CRs and 36.523 CR changes for RAN5,2
Working with hardware in the loop systems (HiL).,2
"Establishes network specifications by conferring with users; analyzing workflow, access, information, and security requirements; designing router administration, including interface configuration and routing protocols.",2
Maintain an owner follow-up system that encourages repeat and referral business.,3
Providing software solutions to complex technical problems using ingenuity and creativity.,2
Flag any recording issues during sessions to avoid pickups and/or retakes,2
"Collaborate with other consulting professionals to identify unique real estate solutions applicable across the Federal, state/local and higher education communities",3
"Review product requirements for traceability, risk remediation and testability",2
Evaluate predictive ability of datasets,0
"Ensure smooth transition to technical and delivery teams of the business / functional / technical requirements agreed with customer via proper Statement of Work, and facilitate and relationship building with customer",3
"Ensure that the client receives quality data by reviewing laboratory data for accuracy, clarity, and adherence to GMP and/or GLP regulations",0
Design and develop code from requirement specifications.,2
R&D lead for projects of moderate to large size & complexity.,1
Design and code complex solutions that meet business requirements on schedule and within budget,2
"Establish scalable, efficient, automated processes for data analyses, model development, validation and implementation",1
"Develop and execute the Auptimizer technical roadmap including implementing ML algorithms, setting project milestones and timelines, and contributing to overall team strategy.",1
Use your expertise in data science and/or computer science to research and recommend solutions to our technology and business problems.,0
"Play a key role in the planning, design and execution of signal processing, time-series analysis, and predictive machine learning algorithms for highly integrated point-of-care medical devices. Strong understanding of biosensor data and diagnostic instrumentation. Think out of box for innovative approaches and solutions that are game changing in the diagnostic industry.",0
Contribute to the planning and action to continually address cybersecurity issues throughout a program lifecycle,2
"You will work with analysts to understand business needs and requirements, and data engineers to implement scalable pipelines for ETL, model training, and scoring.",0
"Manage end-to-end Quality, New Product Acceleration, and other forums for ongoing supplier, integrator and general contractor engagements.",2
"Participate in regular code reviews, often in a mentorship capacity",1
Participate in large-scale security incidents.,2
