description,id,jobflag
"Assist with the implementation of new features and perform code maintenance, using current computer languages (such as C or C++)",177.0,3
"Create high-level designs and when required, work with other designers/ architects.",181.0,3
Work closely with marketing and customers to define HVAC control systems,182.0,3
Software Developer for the Contrail Sustaining Engineering team.,188.0,3
"Document requirements, use cases, and designs.",190.0,3
"Work across silos with R&D scientists, mechanical, electrical, manufacturing, and service engineers, technical writers, application specialists.",191.0,3
Must be able to demonstrate innovation in problem solving,196.0,3
Works with product manager and UX designer to ensure quality code that meets the functional requirements,199.0,3
Manage the HDFS and ensuring it is working optimally at all times.,202.0,3
Independently drives for core software improvements.,205.0,3
Debugging and integrating SW on product HW,207.0,3
Create/Modify technical documentation and requirements documentation,208.0,3
Participates in IT Operations on-call rotation.,209.0,3
Manage technology projects in compliance with IT standards,210.0,3
Participate in a 24/7 global operation that manages and responds to security events on our networks.,212.0,3
"Define and maintain pack level requirements for battery controls, internal mechanical, electrical components (high voltage contactors/wiring), battery cells, and thermal performance.",214.0,3
"Perform testing (unit, independent, system and performance)",216.0,3
"Lead all aspects of the development of custom applications using APEX, JavaScript, Visual Force, AJAX, HTML, CSS",217.0,3
Clearly and regularly communicate with management and technical support colleagues,218.0,3
Preparation and review/approval of Engineering Changes and MRB Materials,222.0,3
Support and improve existing tools for continuous integration and automated testing,224.0,3
Prepare technical documentation and report for delivery to customer subject matter experts,226.0,3
"Work with algorithm experts in perception, motion planning and platform control",228.0,3
A strong ability to balance task ownership with team collaboration,232.0,3
Prepares and secures transmittal for all items sent from office.,233.0,3
"Installs and tests software upgrades, both desktop and server based.",234.0,3
Performing code reviews and give directed feedback to engineers on your team,235.0,3
"Create the customer-facing UIs, tools and environment that allow customers, both internal and external, to configure, verify, simulate, tune, and instantiate their interconnect IP.",236.0,3
"Plans, develops, tests, deploys and monitors cross-platform mobile apps in a DevOps model",237.0,3
Lead detailed strategy in generating industry-specific business growth opportunities for our product.,242.0,3
"Support documentation, Test Driven Development and reusable code methodologies",245.0,3
Collaborate and take ownership with other developers to improve software and hardware quality.,246.0,3
"Translating system-level CONOPS, functional analysis, and requirements into models and simulations.",250.0,3
Provide data for sales collateral,253.0,3
Design and develop software according to our company and OWASP secure-coding guidelines.,259.0,3
Contribute to and maintain design and user documentation,261.0,3
Develop and deliver software iteratively and incrementally,263.0,3
Investigate front-end technologies and research solutions needed for system and business requirements.,266.0,3
Work with cross functional project teams on software,268.0,3
Performance of acceptance fire testing for authorities having jurisdiction,270.0,3
"Define and drive front-end architecture, code quality, and technical standards.",271.0,3
"Good analytical, communication, leadership and human relations skills required",274.0,3
Manages the operations of the certification or IOT programs and oversee the development of standards and testing materials,275.0,3
Contribute towards future roadmap,276.0,3
"Develops effective, maintainable code in a timely fashion",282.0,3
"Helping to build and maintain our culture that produces team cohesion, high drive, and excitement within the engineering team.",283.0,3
"Create and deliver best practices, recommendations, tutorials, blog articles, and sample code.",284.0,3
Work with scheduler and directors to maintain established production schedule,288.0,3
Leads cross team code merge and deployment activities through collaboration and working closely with all Sales Force Sprint Teams,290.0,3
"Familiar with basic concepts, practices and procedures in field.",291.0,3
"Communicate prototype results in an actionable form, including lessons learned and next steps for technical teams in the AI CoE and other technology groups",293.0,3
Develop and manage laboratory qualification programs for new products.,294.0,3
"Assisting developers in debugging application build, deployment and connectivity issues",296.0,3
Developing new Project-specific features if needed.,298.0,3
Ability to work in hot and cold conditions for field investigations to review product failures.,300.0,3
"Integrate and commission servo drives and amplifiers into process automation for linear and/or rotary movements. (Siemens, Beckhoff, AB, SEW, Bosch, etc.).",302.0,3
"Work in an Agile development environment, using Jira to plan work and track progress.",305.0,3
"Contribute to architecture and code design, estimates, code reviews, and documentation to ensure top quality software.",306.0,3
Improving the overall quality of our codebase through adopting model-view-presenter and Kotlin,307.0,3
"Person should have experience with virtualization technologies Dockers/Containers, Namespaces, etc.",308.0,3
Owns full life cycle of development process in conjunction with Product Owner and Scrum Master.,309.0,3
Create a set of test scenarios for autonomous driving testing and validation,311.0,3
"Preparation of proposals, negotiations to actively pursue orders and order execution.",312.0,3
Collaborateacross multiple teams in architecting new solutions,313.0,3
Interact with subject matter experts to understand and communicate how key technology elements address specific risk.,315.0,3
Partnering closely with our Enterprise team on creating innovative mechanisms for transforming and exposing data for consumption by internal and external customers,321.0,3
"Reinforce a philosophy of modular, well specified, understood and documented software architecture and design, with an eye toward efficiency and future maintainability.",322.0,3
Work with UX and other internal resources to assess and understand technical specifications and business requirements.,323.0,3
"Complete correspondence, forms and reports using computer and applicable software",326.0,3
Perform testing on an agile team Work with the development team to create test plans and test cases,330.0,3
Support the development of data and content pipelines to build new machine learning and deep learning models,331.0,3
Provide coaching/advisory services to customer project teams,333.0,3
Write high quality designs that make sound engineering decisions across known and unknown interacting systems.,334.0,3
Understand business requirements and devise resourceful backend data solutions,336.0,3
Possess increased confidence in the products and delivery schedules,337.0,3
"Take on individual projects driven by the Architecture team. These may be POCs for new patterns or technology, or cross-team efforts that the Architecture team needs to drive to pull in those patterns or technologies into our code.",339.0,3
"Program logic controllers in ladder, sequential graphs and/or statement lists. (Siemens, AB, Beckhoff, Pilz, etc.)",340.0,3
"Set up, safely operate and maintain laboratory equipment and test instruments.",341.0,3
Previous exposure to highly scalable platforms,343.0,3
Provide a source of creative energy; continuously thinking about and introducing new concepts and fresh ideas,346.0,3
"Implement best practices in building, profiling and monitoring high performance high availability solutions providing mission-critical real-time functionality on the control plane of mobile and fixed network",348.0,3
Interface with multi-disciplinary teams internal/external to NASA,353.0,3
Develop internal and external RESTful Web APIs and SDKs.,355.0,3
Provide work leadership and training to lower level industrial engineers.,356.0,3
"Share team responsibility for capacity and availability planning and reporting on a monthly, quarterly and yearly basis.",357.0,3
Identify software and hardware dependencies and capacities,358.0,3
Growing your skillset through mentoring and training opportunities.,365.0,3
Create and execute automated tests using product APIs and scripting,367.0,3
Designs data integrations and data quality framework.,368.0,3
"Formulates, documents, and maintains quality control standards and product installation guides for customers.",370.0,3
"Developing and performing automated builds, testing, and deployments",373.0,3
Continuously improve team objectives through creative automation,374.0,3
Additional duties as may be required,375.0,3
Participate in problem solving and troubleshooting,376.0,3
Reviewing and creating TTCN CRs and 36.523 CR changes for RAN5,379.0,3
Working with hardware in the loop systems (HiL).,380.0,3
"Establishes network specifications by conferring with users; analyzing workflow, access, information, and security requirements; designing router administration, including interface configuration and routing protocols.",381.0,3
Providing software solutions to complex technical problems using ingenuity and creativity.,383.0,3
Flag any recording issues during sessions to avoid pickups and/or retakes,384.0,3
"Review product requirements for traceability, risk remediation and testability",386.0,3
Design and develop code from requirement specifications.,390.0,3
Design and code complex solutions that meet business requirements on schedule and within budget,392.0,3
Contribute to the planning and action to continually address cybersecurity issues throughout a program lifecycle,397.0,3
"Manage end-to-end Quality, New Product Acceleration, and other forums for ongoing supplier, integrator and general contractor engagements.",399.0,3
Participate in large-scale security incidents.,401.0,3
Contribute as a productive member of an agile development team with both onshore stakeholders and offshore development team members,403.0,3
Supports software project management and software supplier management functions.,405.0,3
Partners with product manager and UX designer to drive creation of processes and procedures,406.0,3
Selected candidate will be mentored and guided in your daily tasks by experienced engineers and will be part of an integrated product team working closely with other engineering disciplines to produce the EW sub-systems and integrate them into the air platforms,408.0,3
"Identifying and recommending upgrades and enhancements that would contribute to system availability, cost savings, and/or productivity improvements.",409.0,3
Possesses proficient platform-based knowledge in domain and systems thinking,410.0,3
"Rapidly debug/resolve problems, optimize processes and automate routine tasks.",411.0,3
Building analytics solutions that shine at scale.,416.0,3
Work with the lead test engineer and a team of software developers to establish and develop test methods and techniques,417.0,3
Build scalable data pipelines and powerful reporting tools,423.0,3
"Setup, configure, and maintain test environments",425.0,3
Support application engineering staff to finish commissioning.,426.0,3
Must be able to interact with individuals to solidify understanding of requirements and expectations,428.0,3
Developing embedded SW to meet specific system and HW requirements,429.0,3
Develop application programs and integration solutions based on requirements.,431.0,3
Identify and track deficiencies and deviations from plans; work with construction team to mitigate and solve these deficiencies and deviations,436.0,3
Direct development testing on new or modified designs.,437.0,3
Issue RMA (Return Material Authorizations) for Hardware products.,438.0,3
Implement business analytics tools so that clients can quickly analyze data trends and can readily access key performance indicators.,439.0,3
"Presentations to team members, management and customers",440.0,3
Identify document discrepancies and problems,441.0,3
"Write clean, maintainable, and testable code to ease further development. Provide reasonable test coverage using unit testing best practices",444.0,3
Get to know your customer and empathize with their pain points so that when you solve their problems you share in the satisfaction.,445.0,3
Participate with Carrier Marketing organization to help define the technology and product roadmaps for future HVAC equipment controls and Connected Home featuresproducts,446.0,3
"Responsible for designing and implementing embedded software for mission critical communication systems over multiple hardware and processor platforms (PowerPC, ARM)",447.0,3
"Contribute across the whole stack; web, backend services, iOS and more. Our tech stack is mostly TypeScript, node.js, React, and PostgreSQL, but we try to use the best tools to solve each problem.",451.0,3
"Review requirements, specifications and technical design documents to provide timely and meaningful feedback",452.0,3
"Participate in projects as a member of an Agile/Scrum team including project estimation, task creation and driving to complete tasks in each sprint in a timely manner.",455.0,3
Social: We need someone who knows how to work in and out of organizational boundaries and is not difficult to work with. You will need to positively work through situations of healthy conflict when they occur.,457.0,3
Build out automation and orchestration for the high available containerized backend,459.0,3
"Develop, debug and create solutions using .C#, .NET framework, Java, etc.",462.0,3
Key Contact point for PCT in Qualcomm,463.0,3
"Inspection, alignment/calibration, testing and commissioning of fire and gas detection devices and configured systems",464.0,3
"The applicant must be able to review system and subsystem specifications and interface documentation for completeness, accuracy, and applicability.",465.0,3
"Working in a cohesive, small team environment",466.0,3
"Program SQL views, stored procedures, and functions",467.0,3
Planning and carrying out of commissioning,469.0,3
Perform strategic organizational and process assessments and compare them against current state with benchmark and assessment tools.,473.0,3
Contribute to algorithm development in the areas of decision making with the emphasis on integration with relevant modules such as perception,474.0,3
"Define and unify development pipeline, build process, testing and deployment strategies across diverse software and firmware development teams",478.0,3
Application support across various enterprise and custom in-house application suites acting as a liaison between business and technical departments.,480.0,3
"Accountable for continuous delivery of technology solutions, leveraging Agile and DevOps principles",481.0,3
Support subject-matter experts within S&V and MBD (FEA & Vibro-Acoustic modeling) discipline.,482.0,3
"Effectively communicate and collaborate with local and international teams, including Technical Support, Quality Assurance, Product Management, and end users as may be necessary",483.0,3
"Participates, as needed, in conducting wide range of IT run the business activities, including but not limited to establishing and maintaining servers, network, telecommunications, SAN administration, virtualization, cloud computing, backup/recovery and Service Desk support.",484.0,3
"Provide technical leadership for the application and development of simulation, material testing, and experimental capabilities within the BDX R&D community. Recommend and implement the application of appropriate technologies to meet team objectives.",485.0,3
Perform medium to high speed circuit design and validation,486.0,3
Additional duties as requested.,498.0,3
Knowledge and experience of complex software design for distributed systems in embedded networking/telecommunications projects.,500.0,3
Writes automated tests and test apps,503.0,3
Contribute to test automation initiatives including building test tools to improve code quality and application performance,505.0,3
"Train both end user and Business Partners on Alcatel-Lucent Enterprise wired network (L2/L3), wireless LAN, and NMS equipment being installed or maintained.",507.0,3
New Hardware & Software products pre-release testing.,509.0,3
"Remains flexible and responsive to changing priorities and multiple, concurrent responsibilities.",510.0,3
Interpret 2D and 3D engineering drawings as well as FAI and Cpk statistical process capability analysis.,512.0,3
Develop and analyze automated tests,513.0,3
Identify technical solutions that can be rapidly developed and deployed in a robust manner,514.0,3
Follow industry best practices for software development activities,516.0,3
Establish working relationships with all the productized SCRUM teams and key team members and across the IT organization as appropriate,518.0,3
"Contribute to strategic, financial, and resource planning",520.0,3
Collaborate closely with software development colleagues to resolve issues and make improvements,521.0,3
Review contractor submittals for compliance and provide approval and/or guidance to the government,524.0,3
"Support management of software defined infrastructure environment, configuration and build scripts for production environment.",526.0,3
Write and maintain software design document. UML experience is a plus.,530.0,3
"Ensuring the stability, integrity and efficient operation of the firm technology infrastructure through the appropriate operation of technologies.",532.0,3
Generate and maintain detailed technical documents as required during the course of product development.,533.0,3
Allocates and manages test resources according to varying needs of different product teams,537.0,3
"Ability to adapt to new languages, methodologies, and platforms to meet the needs of the project.",542.0,3
"Proactively manage the growth, training, structure and capabilities of assigned development teams. Mentor engineers on design, development, and best practice concepts, and develop PrismHR s next generation of technology leaders.",543.0,3
The candidate will be contributing to build L3 Autonomous driving vehicle.,544.0,3
Extend Agency Spotter API for,546.0,3
Assist in coordination of specification review meetings to develop or confirm scope of work including exceptions and clarifications.,548.0,3
Works safely  especially as it relates to radiation safety.,551.0,3
"Perform basic analysis, development, testing, debugging, configuration, incident investigation, documentation, health monitoring/alerting, and implementing based on and related to user or system design specifications.",552.0,3
Develop testing procedures or routines to support new product development and enhancements,553.0,3
Define cybersecurity strategies for various product types,554.0,3
"Provide telephone/remote and on-site troubleshooting, training and support to end users and decision makes",555.0,3
Understands the software development life cycle and processes using model based development,558.0,3
Develop and unit test applications in accordance with established standards,562.0,3
Translate customer needs and technology directions into development tasks,564.0,3
Performs tests and experiments in accordance with the requirements of Good Manufacturing Practices (GMP) and Good Laboratory Practices (GLP).,565.0,3
Integrate third party application with existing environment.,568.0,3
Work with testing teams to ensure knowledge of software timing and availability,569.0,3
Must work overtime and weekends when needed,574.0,3
"Support Business Development, Project Management and DRT Customer Base",575.0,3
Monthly project status reports and change orders.,577.0,3
"Collaborate with product owners to translate business requirements into well-formed, actionable user stories and designs.",578.0,3
Respond to degraded systems performance and troubleshoot system and network problems in a systematic manner.,580.0,3
"Desire to build proof-of-principle prototypes by ""getting your hands dirty"" and using basic machining equipment, hand-held tools, and creative unconventional techniques.",583.0,3
"Architect, Develop & Implement innovative software solutions.",585.0,3
Ensures the appropriate adherence to inter-departmental processes and procedures within the testing team.,588.0,3
Provide advanced manufacturing process analyses as well as numerical modeling and optimization where applicable in support of product development applications for BD business units.,590.0,3
Create automation to ensure quality.,591.0,3
"Performing software analysis, design and development according to existing coding standards and guidelines",595.0,3
"Outage response, high-level systems analysis, evaluation, documentation, and implementation requiring a thorough knowledge of administrative and technical skills related to the IEN/VoIP platform",596.0,3
"Working knowledge of ADAS/AD features: AEB, Lane Centering, ACC, Lane Line detection.",597.0,3
"Develop and enhance software tools, simulators, and interfaces;",598.0,3
"Facilitate Defect Triage meetings and manage the Issue Analysis process  Conduct key formal peer reviews, collect key metrics to facilitate a learning organization  Ensure Definition-of-Ready and Definition-of-Done criteria being met  Facilitate common software requirements analysis across multiple projects  Assist Chief Software Engineer and Technical Program Managers with overall continuous technical process improvements",603.0,3
"Participate in formal software inspection processes, customer meetings, and user events",604.0,3
"Work through all phases of the software development life cycle, including research, design, analysis, requirements, implementation, test automation, and maintenance.",606.0,3
"Design, develop, test, deploy, maintain, and enhance software solutions.",608.0,3
"Work in an Agile software development environment; attend and contribute to scrum, planning and retrospect meetings",609.0,3
"Coordinate with engineering and maintenance on existing machine control modifications to robotic, electrical, electronic, pneumatic and vision systems",612.0,3
Provide technical guidance to junior team members.,615.0,3
"Mentoring of junior team members around code style, requirements, and delivery",617.0,3
Build high-quality software that meets design specifications.,619.0,3
"Build collaborative relationships with key leaders and peers across the organization (i.e. Team Leaders, CoEs) to ensure the best use of overall resources.",620.0,3
Performs data analysis required to troubleshoot data related issues and assist in the resolution of data issues.,621.0,3
Provide technical and project leadership to other staff members,624.0,3
"Setup and test in multiple test environments comprising various OS and Browser versions, different mobile devices, and on the cloud",625.0,3
"Design and develop new machine controls including robotic, electrical, electronic, pneumatic and vision systems",626.0,3
Working with the customer facing team of Qualcomm to work on Approved test case issues,632.0,3
Attend all meetings necessary for the seamless delivery of the product as part of the Software Development Life Cycle,637.0,3
Act as a Subject Matter Expert (SME) for front-end development.,640.0,3
"Develops data pipelines that are scalable, repeatable and secure.",642.0,3
"Develop, test, and debug application source code",643.0,3
Actively ensure all field personnel comply with safe work practices in accordance with EH&S standards,644.0,3
Maintains a working knowledge of applications and system integration and is able to understand changes in order to anticipate cross-system or cross-process impacts.,647.0,3
"Create detailed documentation for digital prototypes, custom solutions and products and assist in customer and partner implementations",648.0,3
Provide technical guidance to ensure alignment with Engineering architectural vision and best practices,649.0,3
Responsible for ensuring quality services are delivered for particular task(s) and is seen as the task leader,651.0,3
"Implement the requisite components of a complex and mission-critical communications platform using core Java, Kafka, Kubernetes, AWS and related technologies",652.0,3
"Utilize Freshservice, Jira, Bitbucket and other E-Tools for planning and execution",653.0,3
"Assist in the design, architecture, and implementation of new systems",654.0,3
Analyze failures and fix bugs.,657.0,3
Assemble the tools and platform for the creation of our next-generation interconnect IP elements.,658.0,3
Develop custom web application and device testing.,659.0,3
"Document requirements, use cases, and designs.",660.0,3
Worked in an Agile/Scrum development process environment.,661.0,3
"Determining operational feasibility by evaluating analysis, problem definition, requirements, solution development and proposed solutions",663.0,3
"Designing, building, installing, configuring and supporting production deployments",665.0,3
"Use various methods to ensure the quality of your code: writing unit tests, performing code inspections with your peers, integration testing, performance testing and assisting QA.",666.0,3
"Setup, deploy, and perform system administration on Windows servers.",668.0,3
"Identify and recommend where increased automation, performance enhancements, application enhancements and quality enhancements may be incorporated.",670.0,3
Communicate with internal and external clients to elicit requirements,671.0,3
"Generate software requirements documents, design specifications, and software test protocols.",676.0,3
Provide operational support by fixing production issues and embracing continuous delivery,677.0,3
"Perform testing (unit, independent, system and performance).",678.0,3
"Strong knowledge of operating system architecture such as memory management, IPC, scheduling, task switching, concurrent memory access, event driven programming.",679.0,3
Feedback: To provide respectful yet honest feedback to leadership about how to better achieve the software development goals.,680.0,3
Provide Tier-2 support to users of technology with a focus on delivering superb customer service; maintain help desk ticketing system and mentor other team members to support network infrastructure.,683.0,3
Foresees capacity requirements for component usage and identifies limitations.,684.0,3
Design subsystems to support software reuse and domain analyses and manage implementation,685.0,3
"Develop and direct software testing and validation, programming and documentation.",687.0,3
Use depth of experience and maturity to work independently without direct guidance in day-to-day activities,689.0,3
Mentor junior software engineers and help refine their software development skill sets,690.0,3
Design and develop complex software using a variety of programming and scripting languages.,694.0,3
"Provide in-depth enterprise infrastructure/cloud modernization expertise to support the technical relationship with our customers, including product and solution briefings, proof-of-concept work, and partner directly with product management to prioritize solutions impacting customer adoption to our product.",698.0,3
"The primary focus of this position will be spent working on new development, maintenance, and support using SQLServer databases, ASP.NET web applications, and custom automation software",699.0,3
"Build a broad technical expertise and practical experience within different ChromeOS and Chrome Browser products, services, and features across critical enterprise solution categories, such as Identity, Management, Security, Networking, and Application (Cloud and Virtualization) solutions.",700.0,3
"Develops data structures and pipelines to organize, collect and standardize data that helps generate insights and addresses reporting needs.",701.0,3
Online transactional databases.,702.0,3
Solicit technical requirements from customers and facilitate all pre-contract design discussions.,704.0,3
Work alongside the Engineering and DevOps teams in an Agile environment to support our CI pipelines with security best practices as well as ensuring perimeter security of applications,705.0,3
Support the qualification process of embedded software components and systems,706.0,3
Research competitive technologies in order to develop alternative technical solutions,709.0,3
"Debug and commission programs on the shop floor, and get the machine ready for SAT.",712.0,3
"Develop mathematical models for ships and sub-systems, including aerodynamic, hydrodynamic, mechanical, actuators and sensors.",713.0,3
"Participates in the testing process through test review and analysis, test witnessing and certification of software",714.0,3
"Assists in establishing requirements, methods, and procedures.",717.0,3
"Create clear and concise documentation for all the work performed, including architecture and design documents, code comments, technical notes, READMEs, bug fixes, root cause analysis, etc.",719.0,3
Develops and maintains code and integrates software components into a fully functional software system.,721.0,3
Lead design of major software components and features.,722.0,3
Inform the Master when there is any doubt about the quality of the potable water,723.0,3
Provide technical assistance and data analysis support for other M&V engineers.,725.0,3
Operate and contribute to our monitoring and alerting stacks:,727.0,3
Act as a trusted technical advisor to customers and solve complex Big Data challenges.,728.0,3
"Duties include software requirements analysis, development of software products and software tools used for design, development and maintenance of infrastructure, and platforms.",732.0,3
"Responsible for the help desk, incident response, and change management systems for internal Tier 2 and above customers.",733.0,3
Champion and implement advanced software development practices;,736.0,3
"Assist in ongoing troubleshooting, maintenance and production support of existing application programs",741.0,3
"Write specifications, test plans, special test software/scripts for system verification and validation",742.0,3
"Reporting network operational status by gathering, prioritizing information, managing projects",743.0,3
"Consult with customers or other departments on project status, proposals, and technical issues such as software system design and maintenance; prepare reports and correspondence concerning project specifications, activities, and status.",746.0,3
Troubleshoot customer or factory technical problems ranging from the basic to the complex,748.0,3
Work independently as a contributing member of a small software development team,749.0,3
Working closely with developers to create test specifications/conditions and build test cases to rigorously test product functionality and investigate all potential product test failures,751.0,3
"Be proactive, self-motivated and attentive to detail when solving highly complex level of escalated problems",752.0,3
"Implements processes and systems to monitor data quality, ensuring production data is always accurate and available for key stakeholders and business processes that depend on it.",753.0,3
"Develop, implement and maintain unit tests",754.0,3
Help us build the processes and tools we need to take things to the next level.,756.0,3
"Work hands-on with the software build, deployment and final configuration for various hardware platforms",757.0,3
Assess our client security system vulnerabilities and recommend how they can become security compliant using our technology and services,758.0,3
